date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:20:04	8388/8388	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Jun%202025%2007:19:57%20GMT	https://id.hollywoodbets.net/?ReturnUrl=%2Fconnect%2Fauthorize%3Fclient_id%3Dpremium%26redirect_uri%3Dhttps%253A%252F%252Fwww.hollywoodbets.net%26response_type%3Dcode%26scope%3Dopenid%2520offline_access%2520api%26state%3D7f8636d3c8f04504a514fa33169f20c8%26code_challenge%3DXn78TEKY_iBkzIezSf8WFWpt9EHOTgJqUdboSsKPHp0%26code_challenge_method%3DS256%26response_mode%3Dquery	C:/My%20Web%20Sites/holly/id.hollywoodbets.net/indexf8f4.html	(from )
09:20:04	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Jun%202025%2007:19:57%20GMT	https://id.hollywoodbets.net/robots.txt		(from )
09:20:05	178212/178212	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2003%20Mar%202010%2007:01:40%20GMT	https://id.hollywoodbets.net/ruxitagentjs_ICANVfqru_10313250422105919.js	C:/My%20Web%20Sites/holly/id.hollywoodbets.net/ruxitagentjs_ICANVfqru_10313250422105919.js	(from https://id.hollywoodbets.net/?ReturnUrl=%2Fconnect%2Fauthorize%3Fclient_id%3Dpremium%26redirect_uri%3Dhttps%253A%252F%252Fwww.hollywoodbets.net%26response_type%3Dcode%26scope%3Dopenid%2520offline_access%2520api%26state%3D7f8636d3c8f04504a514fa33169f20c8%26code_challenge%3DXn78TEKY_iBkzIezSf8WFWpt9EHOTgJqUdboSsKPHp0%26code_challenge_method%3DS256%26response_mode%3Dquery)
09:20:05	93734/93734	---M-Z	200	added ('OK')	text/css	etag:W/%2216e26-p4ONiiDb2g7p5MHLfx+DLOmvHBE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.10.5/font/bootstrap-icons.css	C:/My%20Web%20Sites/holly/cdn.jsdelivr.net/npm/bootstrap-icons@1.10.5/font/bootstrap-icons.css	(from https://id.hollywoodbets.net/?ReturnUrl=%2Fconnect%2Fauthorize%3Fclient_id%3Dpremium%26redirect_uri%3Dhttps%253A%252F%252Fwww.hollywoodbets.net%26response_type%3Dcode%26scope%3Dopenid%2520offline_access%2520api%26state%3D7f8636d3c8f04504a514fa33169f20c8%26code_challenge%3DXn78TEKY_iBkzIezSf8WFWpt9EHOTgJqUdboSsKPHp0%26code_challenge_method%3DS256%26response_mode%3Dquery)
09:20:05	16068/16068	---MCZ	200	added ('OK')	text/css	etag:W/%221dbd623a5b72a44%22	https://id.hollywoodbets.net/css/output.css?v=puoEqDxA_Pky8wPy3tu4X8OinMSqgitDtOUvVswFA_M	C:/My%20Web%20Sites/holly/id.hollywoodbets.net/css/outputc0ac.css	(from https://id.hollywoodbets.net/?ReturnUrl=%2Fconnect%2Fauthorize%3Fclient_id%3Dpremium%26redirect_uri%3Dhttps%253A%252F%252Fwww.hollywoodbets.net%26response_type%3Dcode%26scope%3Dopenid%2520offline_access%2520api%26state%3D7f8636d3c8f04504a514fa33169f20c8%26code_challenge%3DXn78TEKY_iBkzIezSf8WFWpt9EHOTgJqUdboSsKPHp0%26code_challenge_method%3DS256%26response_mode%3Dquery)
09:20:06	15417/15417	---MCZ	200	added ('OK')	text/css	etag:W/%221dbd6a4363505b9%22	https://id.hollywoodbets.net/css/custom.css?v=bZ0O7jJ4VbldBjOnDPdGT2wqdI-weEjoOve4StkOhuI	C:/My%20Web%20Sites/holly/id.hollywoodbets.net/css/custom6ec4.css	(from https://id.hollywoodbets.net/?ReturnUrl=%2Fconnect%2Fauthorize%3Fclient_id%3Dpremium%26redirect_uri%3Dhttps%253A%252F%252Fwww.hollywoodbets.net%26response_type%3Dcode%26scope%3Dopenid%2520offline_access%2520api%26state%3D7f8636d3c8f04504a514fa33169f20c8%26code_challenge%3DXn78TEKY_iBkzIezSf8WFWpt9EHOTgJqUdboSsKPHp0%26code_challenge_method%3DS256%26response_mode%3Dquery)
09:20:06	12014/12014	---MCZ	200	added ('OK')	image/x-icon	etag:W/%221dbd623a5b73a6e%22	https://id.hollywoodbets.net/favicon.ico	C:/My%20Web%20Sites/holly/id.hollywoodbets.net/favicon.ico	(from https://id.hollywoodbets.net/?ReturnUrl=%2Fconnect%2Fauthorize%3Fclient_id%3Dpremium%26redirect_uri%3Dhttps%253A%252F%252Fwww.hollywoodbets.net%26response_type%3Dcode%26scope%3Dopenid%2520offline_access%2520api%26state%3D7f8636d3c8f04504a514fa33169f20c8%26code_challenge%3DXn78TEKY_iBkzIezSf8WFWpt9EHOTgJqUdboSsKPHp0%26code_challenge_method%3DS256%26response_mode%3Dquery)
09:20:06	108574/108574	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221dbd623a5b6bc9e%22	https://id.hollywoodbets.net/images/hollywoodbets-logo.svg	C:/My%20Web%20Sites/holly/id.hollywoodbets.net/images/hollywoodbets-logo.svg	(from https://id.hollywoodbets.net/?ReturnUrl=%2Fconnect%2Fauthorize%3Fclient_id%3Dpremium%26redirect_uri%3Dhttps%253A%252F%252Fwww.hollywoodbets.net%26response_type%3Dcode%26scope%3Dopenid%2520offline_access%2520api%26state%3D7f8636d3c8f04504a514fa33169f20c8%26code_challenge%3DXn78TEKY_iBkzIezSf8WFWpt9EHOTgJqUdboSsKPHp0%26code_challenge_method%3DS256%26response_mode%3Dquery)
09:20:06	7540/7540	---M--	200	added ('OK')	image/png	etag:%221dbd623a5b709f4%22	https://id.hollywoodbets.net/images/premium/hwb-logo.png	C:/My%20Web%20Sites/holly/id.hollywoodbets.net/images/premium/hwb-logo.png	(from https://id.hollywoodbets.net/?ReturnUrl=%2Fconnect%2Fauthorize%3Fclient_id%3Dpremium%26redirect_uri%3Dhttps%253A%252F%252Fwww.hollywoodbets.net%26response_type%3Dcode%26scope%3Dopenid%2520offline_access%2520api%26state%3D7f8636d3c8f04504a514fa33169f20c8%26code_challenge%3DXn78TEKY_iBkzIezSf8WFWpt9EHOTgJqUdboSsKPHp0%26code_challenge_method%3DS256%26response_mode%3Dquery)
09:20:07	4018/4018	---MCZ	200	added ('OK')	text/javascript	etag:W/%221dbd623a5b71b32%22	https://id.hollywoodbets.net/js/iovation.js	C:/My%20Web%20Sites/holly/id.hollywoodbets.net/js/iovation.js	(from https://id.hollywoodbets.net/?ReturnUrl=%2Fconnect%2Fauthorize%3Fclient_id%3Dpremium%26redirect_uri%3Dhttps%253A%252F%252Fwww.hollywoodbets.net%26response_type%3Dcode%26scope%3Dopenid%2520offline_access%2520api%26state%3D7f8636d3c8f04504a514fa33169f20c8%26code_challenge%3DXn78TEKY_iBkzIezSf8WFWpt9EHOTgJqUdboSsKPHp0%26code_challenge_method%3DS256%26response_mode%3Dquery)
